Coincidence event, time difference, timestamp 1, timestamp 2, nth event within the second
//note that we still have too many events in this dataset to be considered muons.
Muon:0.000022 (131833.000001-131833.000023) Et2
Muon:0.000040 (131833.000016-131833.000056) Et3
Muon:0.000013 (131918.000169-131918.000182) Et1
Muon:0.000000 (131919.000002-131919.000002) Et1
Muon:0.000092 (131922.000147-131922.000239) Et3
Muon:0.000036 (131924.002193-131924.002229) Et4
Muon:0.000044 (132002.000478-132002.000522) Et3
Muon:0.000006 (132014.000251-132014.000244) Et1
Muon:0.000005 (132014.000253-132014.000258) Et2
Muon:0.000010 (132014.000254-132014.000264) Et3
Muon:0.000013 (132014.000256-132014.000269) Et4
Muon:0.000046 (132015.000240-132015.000286) Et1
Muon:0.000052 (132016.003500-132016.003448) Et1
Muon:0.000026 (132016.003508-132016.003482) Et2
Muon:0.000010 (132016.003556-132016.003547) Et3
Muon:0.000052 (132016.003721-132016.003669) Et4
Muon:0.000002 (132228.000001-132228.000002) Et1
Muon:0.000004 (132228.000003-132228.000006) Et2
Muon:0.000003 (132228.000010-132228.000013) Et3
Muon:0.000068 (132230.000001-132230.000069) Et1
Muon:0.000015 (132348.000002-132348.000017) Et1
Muon:0.000005 (132426.000001-132426.000006) Et1
Muon:0.000070 (132520.000001-132520.000071) Et1
Muon:0.000087 (132520.000002-132520.000089) Et2
Muon:0.000009 (132553.000001-132553.000010) Et1
Muon:0.000009 (132553.000001-132553.000011) Et2
Muon:0.000057 (132554.000001-132554.000058) Et1
Muon:0.000070 (132554.000001-132554.000071) Et2
Muon:0.000002 (132637.000001-132637.000002) Et1
Muon:0.000001 (132637.000003-132637.000005) Et2
Muon:0.000028 (132637.000034-132637.000006) Et3
Muon:0.000074 (132637.000085-132637.000011) Et4
Muon:0.000043 (132638.000001-132638.000044) Et1
Muon:0.000033 (132639.000001-132639.000033) Et1
Muon:0.000040 (132639.000004-132639.000044) Et2
Muon:0.000019 (132639.000027-132639.000046) Et3
Muon:0.000015 (132639.000081-132639.000066) Et4
Muon:0.000060 (132735.000188-132735.000128) Et2
Muon:0.000013 (132839.001088-132839.001075) Et3
Muon:0.000002 (132844.000004-132844.000002) Et1
Muon:0.000100 (132844.000105-132844.000005) Et2
Muon:0.000000 (132915.000001-132915.000001) Et1
Muon:0.000002 (133014.000001-133014.000002) Et1
Muon:0.000002 (133014.000002-133014.000004) Et2
Muon:0.000020 (133014.000053-133014.000033) Et3
Muon:0.000002 (133017.000001-133017.000002) Et1
Muon:0.000000 (133048.000001-133048.000001) Et1
Muon:0.000076 (133212.000877-133212.000954) Et3
Muon:0.000059 (133300.001516-133300.001575) Et2
Muon:0.000000 (133346.000001-133346.000001) Et1
Muon:0.000027 (133347.000001-133347.000027) Et1
Muon:0.000032 (133347.000001-133347.000033) Et2
Muon:0.000002 (133348.000001-133348.000002) Et1
Muon:0.000003 (133348.000001-133348.000004) Et2
Muon:0.000026 (133348.000002-133348.000028) Et3
